"행정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0세","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0세","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0세"
"전국  (0000000000)","51,091,769","270,633","270,633","25,418,248","138,686","138,686","25,673,521","131,947","131,947"
"서울특별시  (1100000000)","9,289,813","47,447","47,447","4,471,801","24,308","24,308","4,818,012","23,139","23,139"
"부산광역시  (2600000000)","3,232,370","14,869","14,869","1,570,097","7,580","7,580","1,662,273","7,289","7,289"
"대구광역시  (2700000000)","2,348,165","11,382","11,382","1,149,388","5,837","5,837","1,198,777","5,545","5,545"
"인천광역시  (2800000000)","3,061,002","17,984","17,984","1,528,323","9,189","9,189","1,532,679","8,795","8,795"
"광주광역시  (2900000000)","1,385,460","6,978","6,978","683,328","3,566","3,566","702,132","3,412","3,412"
"대전광역시  (3000000000)","1,442,034","8,201","8,201","718,127","4,220","4,220","723,907","3,981","3,981"
"울산광역시  (3100000000)","1,087,089","5,877","5,877","560,549","2,999","2,999","526,540","2,878","2,878"
"세종특별자치시  (3600000000)","390,923","3,072","3,072","194,731","1,598","1,598","196,192","1,474","1,474"
"경기도  (4100000000)","13,761,783","82,927","82,927","6,908,300","42,544","42,544","6,853,483","40,383","40,383"
"강원특별자치도  (5100000000)","1,507,217","7,131","7,131","758,261","3,713","3,713","748,956","3,418","3,418"
"충청북도  (4300000000)","1,600,787","8,721","8,721","816,339","4,408","4,408","784,448","4,313","4,313"
"충청남도  (4400000000)","2,138,785","10,814","10,814","1,098,635","5,550","5,550","1,040,150","5,264","5,264"
"전북특별자치도  (5200000000)","1,718,633","7,467","7,467","856,605","3,793","3,793","862,028","3,674","3,674"
"전라남도  (4600000000)","1,773,646","9,134","9,134","896,552","4,698","4,698","877,094","4,436","4,436"
"경상북도  (4700000000)","2,495,919","10,682","10,682","1,264,218","5,527","5,527","1,231,701","5,155","5,155"
"경상남도  (4800000000)","3,195,351","14,603","14,603","1,611,870","7,445","7,445","1,583,481","7,158","7,158"
"제주특별자치도  (5000000000)","662,792","3,344","3,344","331,124","1,711","1,711","331,668","1,633","1,633"
